Abbreviation	Recon2Name	UniqueID	Degree in inhibition network	Database Names	KEGG Compound Type	PubChem CID	PubChem SID	HMDB	HMDB Kingdom	HMDB superClass	HMDB class	HMDB subClass
3hanthrn	3_hydroxyanthranilate	C00632	3	3-Hydroxyanthranilate		86	3905	HMDB01476	Organic Compounds	Aromatic Cyclic Compounds	Benzoic Acid and Derivatives	Hydroxybenzoic Acid Derivatives
4mptnl	4_methylpentanal	C02373	2	4-Methylpentanal		129	5415	HMDB01318	Organic Compounds	Aliphatic Acyclic Compounds	Carbonyl Compounds	Aldehydes
1mncam	1_methylnicotinamide	C02918	2	1-Methylnicotinamide		457	5841	HMDB00699	Organic Compounds	Aromatic Cyclic Compounds	Pyridines and Derivatives	Pyridinium Derivatives
11docrtstrn	11_deoxycorticosterone	C03205	6	11-Deoxycorticosterone	Steroids!Hormones and transmitters	6166	6081	HMDB00016	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
4hoxpacd	4_hydroxyphenylacetaldehyde	C03765	1	4-Hydroxyphenylacetaldehyde		440113	6521	HMDB03767	Organic Compounds	Aromatic Cyclic Compounds	Phenylacetaldehydes	N/A
C09209	Harman	C09209	2	Harman		5281404	11400	HMDB35196	Organic Compounds	Others	Harmala Alkaloids	N/A
ppi	diphosphate	C00013	77	Diphosphate		1023	3315	HMDB00250	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Pyrophosphates
btcoa	butanoyl_coa	C00136	9	Butanoyl-CoA		122283	3436	HMDB01088	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
HC01406	3-Oxooctanoyl-CoA	C05267	2	3-Oxooctanoyl-CoA		11966162	7654	HMDB03941	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
dcacoa	decanoyl_coa (n_c10:0coa)	C05274	7	Decanoyl-CoA		164800	7661	HMDB06404	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
for	formate	C00058	11	Formate	Organic acids	284	3358	HMDB00142	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Carboxylic Acid Derivatives
glyc	glycerol	C00116	27	Glycerol	Carbohydrates	753	3416	HMDB00131	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Alcohols	N/A
hco3	bicarbonate	C00288	13	HCO3-		769	3583	HMDB00595	Organic Compounds	Organic Acids and Derivatives	Organic Carbonic Acids and Derivatives	N/A
stcoa	stearoyl_coa (n_c18:0coa)	C00412	7	Stearoyl-CoA		94140	3702	HMDB01114	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
odecoa	octadecenoyl_coa (n_c18:1coa)	C00510	10	Oleoyl-CoA		5497111	3793	HMDB01322	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
arachcoa	arachidyl coenzyme a	C02041	1	Eicosanoyl-CoA		3081439	5132	HMDB04258	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
arachdcoa	c20:4_coa	C02249	4	Arachidonyl-CoA		5497113	5312	HMDB06523	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
tdcoa	tetradecanoyl_coa (n_c14:0coa)	C02593	7	Tetradecanoyl-CoA		11966124	5585	HMDB01521	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
ttdca	tetradecanoate (n_c14:0)	C06424	6	Tetradecanoic acid	Lipids	11005	8659	HMDB00806	Organic Compounds	Lipids	Fatty Acids and Conjugates	Straight Chain Fatty Acids
CE2254	docosanoyl-CoA	C16528	2	Docosanoyl-CoA		168166	51090857	NA		Others		
ttccoa	tetracosanoyl_coa  (n_c24:0coa)	C16529	1	Tetracosanoyl-CoA		3082227	51090858	HMDB06526	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
ppa	propionate (n_c3:0)	C00163	15	Propanoate	Organic acids	1032	3463	HMDB00237	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Carboxylic Acid Derivatives
but	butyrate (n_c4:0)	C00246	12	Butanoic acid	Organic acids!Lipids	264	3545	HMDB00039	Organic Compounds	Lipids	Fatty Acids and Conjugates	Straight Chain Fatty Acids
HC01007	L-Octanoylcarnitine	C02838	3	L-Octanoylcarnitine		11953814	5780	HMDB00791	Organic Compounds	Lipids	Fatty Acid Esters	Acyl Carnitines
acnam	n_acetylneuraminate	C00270	5	N-Acetylneuraminate	Carbohydrates	439197	3568	NA		Others		
dgtp	dgtp	C00286	16	dGTP	Nucleic acids	65103	3581	HMDB01440	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Deoxyribonucleotides
gam6p	d_glucosamine 6_phosphate	C00352	6	D-Glucosamine 6-phosphate		440997	3645	HMDB01254	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
glc_D	d_glucose	C00031	39	D-Glucose	Carbohydrates	5793	3333	HMDB00122	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
uacgam	udp_n_acetyl_d_glucosamine	C00043	13	UDP-N-acetyl-alpha-D-glucosamine		445675	3345	HMDB00290	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Nucleotide Sugars
ctp	ctp	C00063	57	CTP	Nucleic acids!Vitamins and Cofactors	6176	3363	HMDB00082	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Ribonucleotides
utp	utp	C00075	64	UTP	Nucleic acids	6133	3375	HMDB00285	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Ribonucleotides
acgam	n_acetyl_d_glucosamine	C00140	9	N-Acetyl-D-glucosamine	Carbohydrates	439174	3440	HMDB00215	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
gam	d_glucosamine	C00329	9	D-Glucosamine	Carbohydrates	439213	3623	HMDB01514	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
acgam6p	n_acetyl_d_glucosamine 6_phosphate	C00357	2	N-Acetyl-D-glucosamine 6-phosphate		440996	3650	HMDB01062	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
acmana	n_acetyl_d_mannosamine	C00645	5	N-Acetyl-D-mannosamine	Carbohydrates	439281	3918	HMDB01129	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
g1p	d_glucose 1_phosphate	C00103	17	D-Glucose 1-phosphate		65533	3403	HMDB01586	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
dha	dihydroxyacetone	C00184	3	Glycerone	Carbohydrates	670	3484	HMDB01882	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Trioses
b2coa	crotonoyl_coa	C00877	4	Crotonoyl-CoA		5497143	4133	HMDB02009	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
2mb2coa	trans_2_methylbut_2_enoyl_coa	C03345	1	2-Methylbut-2-enoyl-CoA		6443760	6188	HMDB02054	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
HC01409	Hexanoyl-CoA	C05270	3	Hexanoyl-CoA		449118	7657	HMDB02845	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
lipoate	lipoate	C00725	7	Lipoate	Vitamins and Cofactors	864	3990	HMDB01451	Organic Compounds	Others	Dithiolanes	Lipoic Acid Derivatives
fmn	fmn	C00061	15	FMN	Vitamins and Cofactors	643976	3361	HMDB01520	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Alloxazines and Isoalloxazines
ACP	acyl carrier protein	C00229	1	Acyl-carrier protein			3528	NA		Others		
ptth	pantetheine	C00831	4	Pantetheine		439322	4089	HMDB03426	Organic Compounds	Organic Acids and Derivatives	Carboxylic Acids and Derivatives	Carboxylic Acid Derivatives
orn	ornithine	C01602	6	Ornithine		389	4756	HMDB32455	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
f6p	d_fructose 6_phosphate	C00085	21	D-Fructose 6-phosphate		439160	3385	HMDB00124	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
fum	fumarate	C00122	23	Fumarate		444972	3422	HMDB00134	Organic Compounds	Lipids	Fatty Acids and Conjugates	Unsaturated Fatty Acids
o2s	superoxide anion	C00704	6	O2.-		5359597	3971	HMDB02168	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Superoxides
4h2oglt	4_hydroxy_2_oxoglutarate	C01127	1	4-Hydroxy-2-oxoglutarate		599	4358	HMDB02070	Organic Compounds	Organic Acids and Derivatives	Keto-Acids and Derivatives	Gamma Keto-Acids and Derivatives
C10164	Picolinic acid	C10164	5	Picolinic acid		1018	12350	HMDB02243	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
CE5643	peroxynitrite	C16845	13	Peroxynitrite		104806	96023369	HMDB02179	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Peroxynitrites
so3	sulfite	C00094	13	Sulfite		1100	3394	HMDB00240	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Sulfites
chol	choline	C00114	12	Choline		305	3414	HMDB00097	Organic Compounds	Aliphatic Acyclic Compounds	Alcohols and Polyols	Cholines
gmp	gmp	C00144	44	GMP	Nucleic acids	6804	3444	HMDB01397	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
glcur	d_glucuronate	C00191	4	D-Glucuronate	Carbohydrates	94715	3491	HMDB00127	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Sugar Acids and Derivatives	Glucuronic Acid Derivatives
thymd	thymidine	C00214	9	Thymidine	Nucleic acids	5789	3514	HMDB00273	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleosides and Analogues	Pyrimidine 2'-deoxyribonucleosides and Analogues
creat	creatine	C00300	3	Creatine		586	3594	HMDB00064	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ethamp	ethanolamine phosphate	C00346	4	Ethanolamine phosphate		1015	3639	HMDB00224	Organic Compounds	Others	Organic Phosphoric Acids and Derivatives	Organophosphate Esters
thm	thiamin	C00378	2	Thiamine	Vitamins and Cofactors	1130	3668	HMDB00235	Organic Compounds	Aromatic Cyclic Compounds	Thiamines	N/A
gsn	guanosine	C00387	17	Guanosine	Nucleic acids	6802	3677	HMDB00133	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	N/A
pppi	inorganic triphosphate	C00536	4	Triphosphate		983	3818	HMDB03379	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Pyrophosphates
camp	camp	C00575	20	3',5'-Cyclic AMP	Nucleic acids	6076	3854	HMDB00058	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Cyclic Purine Nucleotides
cholp	choline phosphate	C00588	6	Choline phosphate		1014	3867	HMDB01565	Organic Compounds	Aliphatic Acyclic Compounds	Alcohols and Polyols	Cholines
pyam5p	pyridoxamine 5_phosphate	C00647	8	Pyridoxamine phosphate		1053	3919	HMDB01555	Organic Compounds	Aromatic Cyclic Compounds	Pyridines and Derivatives	Pyridoxamines
glyb	glycine betaine	C00719	4	Betaine		247	3985	HMDB00043	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ser_D	d_serine	C00740	8	D-Serine	Peptides	71077	4003	HMDB03406	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
minohp	myo_inositol hexakisphosphate	C01204	3	Phytic acid		890	4428	HMDB03502	Organic Compounds	Others	Cyclic Alcohols and Derivatives	Cyclitols and Derivatives
thyox_L	l_thyroxine	C01829	6	Thyroxine	Peptides!Hormones and transmitters	5819	4950	HMDB00248	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
tchola	taurocholic acid	C05122	9	Taurocholate	Steroids	53297338	7544	HMDB00036	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
dhdascb	dehydroascorbate	C05422	4	Dehydroascorbate		440667	7786	NA		Others		
CE0074	alloxan	C07599	6	Alloxanthine		4644	9801	HMDB00786	Organic Compounds	Aromatic Cyclic Compounds	Imidazopyrimidines	Purines and Purine Derivatives
4nphsf	4_nitrophenyl sulfate	HMDB06492	3	4-Nitrophenyl sulfate		3609671	80349	HMDB06492	Organic Compounds	Aromatic Cyclic Compounds	Phenols and Derivatives	Nitrophenols and Derivatives
sucr	sucrose	C00089	13	Sucrose	Carbohydrates	5988	3389	HMDB00258	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Disaccharides	Mixed Pentose/Hexose Disaccharides
g3p	glyceraldehyde 3_phosphate	C00118	11	D-Glyceraldehyde 3-phosphate		439168	3418	NA		Others		
xu5p_D	d_xylulose 5_phosphate	C00231	3	D-Xylulose 5-phosphate		439190	3530	HMDB00868	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Pentoses
co	carbon monoxide	C00237	16	CO		281	3536	HMDB01361	Organic Compounds	Aliphatic Acyclic Compounds	N/A	N/A
e4p	d_erythrose 4_phosphate	C00279	9	D-Erythrose 4-phosphate		122357	3574	HMDB01321	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Monosaccharide Phosphates
sbt_D	d_sorbitol	C00794	8	D-Sorbitol	Carbohydrates	5780	4052	HMDB00247	Organic Compounds	Lipids	Fatty Alcohols	N/A
Nacsertn	n_acetylserotonin	C00978	6	N-Acetylserotonin		903	4227	HMDB01238	Organic Compounds	Aromatic Cyclic Compounds	Indoles	Tryptamines and Derivatives
cbp	carbamoyl phosphate	C00169	9	Carbamoyl phosphate		278	3469	HMDB01096	Organic Compounds	Aliphatic Acyclic Compounds	Organic Oxoanionic Compounds	Organic Phosphites
orot	orotate	C00295	4	Orotate		967	3589	HMDB00226	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
hxan	hypoxanthine	C00262	5	Hypoxanthine		790	3560	HMDB00157	Organic Compounds	Aromatic Cyclic Compounds	Imidazopyrimidines	Purines and Purine Derivatives
ins	inosine	C00294	11	Inosine		6021	3588	HMDB00195	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	Purine 2'-deoxyribonucleosides and Analogues
spmd	spermidine	C00315	19	Spermidine		1102	3609	HMDB01257	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	Polyamines
fol	folate	C00504	12	Folate	Vitamins and Cofactors	6037	3787	HMDB00121	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
crtstrn	corticosterone	C02140	5	Corticosterone	Steroids!Hormones and transmitters	5753	5219	HMDB01547	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
din	deoxyinosine	C05512	3	Deoxyinosine		65058	7859	HMDB00071	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	Purine 2'-deoxyribonucleosides and Analogues
cyan	hydrogen cyanide	C01326	1	Hydrogen cyanide		768	4537	NA		Others		
tcynt	thiocyanate	C01755	18	Thiocyanate		781	4888	HMDB01453	Organic Compounds	Aliphatic Acyclic Compounds	Thiocyanates	N/A
ptrc	putrescine	C00134	18	Putrescine	Peptides	1045	3434	HMDB01414	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	Polyamines
5mta	5_methylthioadenosine	C00170	6	5'-Methylthioadenosine		439176	3470	HMDB01173	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	N/A
agm	agmatine	C00179	7	Agmatine		199	3479	HMDB01432	Organic Compounds	Aliphatic Acyclic Compounds	Guanidines	N/A
dgsn	deoxyguanosine	C00330	7	Deoxyguanosine	Nucleic acids	187790	3624	HMDB00085	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	Purine 2'-deoxyribonucleosides and Analogues
sprm	spermine	C00750	18	Spermine		1103	4012	HMDB01256	Organic Compounds	Aliphatic Acyclic Compounds	Alkylamines	Polyamines
ametam	s_adenosylmethioninamine	C01137	1	S-Adenosylmethioninamine	Peptides	439415	4368	HMDB00988	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	N/A
itp	itp	C00081	19	ITP		8583	3381	HMDB00189	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
dad_2	deoxyadenosine	C00559	13	Deoxyadenosine	Nucleic acids	13730	3839	HMDB00101	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	Purine 2'-deoxyribonucleosides and Analogues
xtp	xtp	C00700	7	XTP		439296	3968	HMDB00293	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
3amp	3_amp	C01367	12	3'-AMP		41211	4566	HMDB03540	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	N/A
pcreat	phosphocreatine	C02305	1	Phosphocreatine		9548602	5359	HMDB01511	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
prostge1	prostaglandin e1	C04741	2	Alprostadil	Lipids	5280723	7312	HMDB01442	Organic Compounds	Lipids	Eicosanoids	Prostaglandins and related compounds
C05298	2-Hydroxyestrone	C05298	1	2-Hydroxyestrone		440623	7682	HMDB00343	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Estrogens and Derivatives
C05301	2-Hydroxyestradiol-17beta	C05301	3	2-Hydroxyestradiol	Steroids	247304	7685	HMDB00338	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Estrogens and Derivatives
hestratriol	4,17 dihydroxy estradiol	C14209	2	4-Hydroxyestradiol-17beta		5282360	7847019	HMDB05896	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Estrogens and Derivatives
2425dhvitd2	24r,25_dihyoxyvitamin d2	HMDB00430	1	24,25-Dihydroxyvitamin D			12895043	HMDB00430	Organic Compounds	Lipids	Prenol Lipids	Sesterterpenes
uri	uridine	C00299	13	Uridine	Nucleic acids	6029	3593	HMDB00296	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleosides and Analogues	N/A
cytd	cytidine	C00475	9	Cytidine	Nucleic acids	6175	3758	HMDB00089	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleosides and Analogues	N/A
xtsn	xanthosine	C01762	3	Xanthosine		64959	4895	HMDB00299	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleosides and Analogues	Purine 2'-deoxyribonucleosides and Analogues
nmn	nmn	C00455	7	Nicotinamide D-ribonucleotide		14180	3741	HMDB00229	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyridine Nucleotides	Nicotinamide Nucleotides
udp	udp	C00015	58	UDP	Nucleic acids	6031	3317	HMDB00295	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Ribonucleotides
ump	ump	C00105	46	UMP	Nucleic acids	6030	3405	HMDB00288	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Ribonucleotides
datp	datp	C00131	15	dATP	Nucleic acids	15993	3431	HMDB01532	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Deoxyribonucleotides
gua	guanine	C00242	9	Guanine	Nucleic acids	764	3541	HMDB00132	Organic Compounds	Aromatic Cyclic Compounds	Imidazopyrimidines	Purines and Purine Derivatives
damp	damp	C00360	13	dAMP	Nucleic acids	12599	3651	HMDB00905	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Deoxyribonucleotides
xan	xanthine	C00385	10	Xanthine		1188	3675	HMDB00292	Organic Compounds	Aromatic Cyclic Compounds	Imidazopyrimidines	Purines and Purine Derivatives
pchol_hs	phosphatidylcholine (homo sapiens)	C00157	18	Phosphatidylcholine	Lipids		3457	HMDB00564	Organic Compounds	Lipids	Glycerophospholipids	Glycerophosphocholines
cholate	cholate	C00695	16	Cholic acid	Steroids	221493	3963	HMDB00619	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
4tmeabutn	4_trimethylammoniobutanoate	C01181	3	4-Trimethylammoniobutanoate		134	4408	HMDB01161	Organic Compounds	Lipids	Fatty Acids and Conjugates	Amino Fatty Acids
C02528	chenodeoxycholate	C02528	7	Chenodeoxycholate	Steroids	10133	5536	HMDB00518	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
pmtcrn	l_palmitoylcarnitine	C02990	2	L-Palmitoylcarnitine		11953816	5899	HMDB00222	Organic Compounds	Lipids	Fatty Acid Esters	Acyl Carnitines
hdd2coa	trans_hexadec_2_enoyl_coa	C05272	1	trans-Hexadec-2-enoyl-CoA		25271599	7659	HMDB03945	Organic Compounds	Lipids	Fatty Acid Esters	Acyl CoAs
lnlncg	gamma_linolenic acid	C06426	4	(6Z,9Z,12Z)-Octadecatrienoic acid	Lipids	5280933	8661	HMDB03073	Organic Compounds	Lipids	Lineolic Acids and Derivatives	N/A
fad	flavin adenine dinucleotide oxidized	C00016	15	FAD	Vitamins and Cofactors	643975	3318	HMDB01248	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Flavin Nucleotides	N/A
cmp	cmp	C00055	32	CMP	Nucleic acids	6131	3357	HMDB00095	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Ribonucleotides
gthox	oxidized glutathione	C00127	24	Glutathione disulfide		65359	3427	HMDB03337	Organic Compounds	Amino Acids, Peptides, and Analogues	Peptides	N/A
aps	adenosine 5_phosphosulfate	C00224	5	Adenylyl sulfate		10238	3524	HMDB01003	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
no2	Nitrite	C00088	9	Nitrite		24529	3388	HMDB02786	Inorganic Compounds	Others	Non-metal Oxoanionic Compounds	Non-metal Nitrites
idp	idp	C00104	13	IDP		6831	3404	HMDB03335	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
cdp	cdp	C00112	37	CDP	Nucleic acids	6132	3412	HMDB01546	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Ribonucleotides
imp	imp	C00130	22	IMP		8582	3430	HMDB00175	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
dcmp	dcmp	C00239	9	dCMP	Nucleic acids	13945	3538	HMDB01202	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Deoxyribonucleotides
dgdp	dgdp	C00361	12	dGDP	Nucleic acids	439220	3652	HMDB00960	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Deoxyribonucleotides
dgmp	dgmp	C00362	8	dGMP	Nucleic acids	65059	3653	HMDB01044	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Deoxyribonucleotides
dtdp	dtdp	C00363	19	dTDP	Nucleic acids	164628	3654	HMDB01274	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Pyrimidine Nucleotides	Pyrimidine Deoxyribonucleotides
xmp	xanthosine 5_phosphate	C00655	10	Xanthosine 5'-phosphate		73323	3925	HMDB01554	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
35cgmp	3,5_cyclic gmp	C00942	4	3',5'-Cyclic GMP	Nucleic acids	24316	4194	HMDB01314	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
thmmp	thiamin monophosphate	C01081	13	Thiamin monophosphate		1131	4319	HMDB02666	Organic Compounds	Aromatic Cyclic Compounds	Thiamines	Thiamine Phosphates
argsuc	n(omega)_(l_arginino)succinate	C03406	2	N-(L-Arginino)succinate	Peptides	16950	6235	HMDB00052	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
dcamp	n6_(1,2_dicarboxyethyl)_amp	C03794	1	N6-(1,2-Dicarboxyethyl)-AMP		447145	6543	HMDB00536	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Purine Nucleotides	Purine Ribonucleotides
arg_L	l_arginine	C00062	11	L-Arginine	Peptides	6322	3362	HMDB00517	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
ala_D	d_alanine	C00133	6	D-Alanine	Peptides	71080	3433	HMDB01310	Organic Compounds	Amino Acids, Peptides, and Analogues	Amino Acids and Derivatives	Alpha Amino Acids and Derivatives
fru	d_fructose	C00095	12	D-Fructose	Carbohydrates	439163	3395	NA		Others		
man	d_mannose	C00159	14	D-Mannose	Carbohydrates	18950	3459	HMDB00169	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Monosaccharides	Hexoses
malt	maltose	C00208	10	Maltose	Carbohydrates	439186	3508	HMDB00163	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Disaccharides	Dihexoses
lcts	lactose	C00243	8	Lactose	Carbohydrates	440995	3542	HMDB00186	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Disaccharides	Dihexoses
acgal	n_acetyl_d_galactosamine	C01132	3	N-Acetyl-D-galactosamine	Carbohydrates	35717	4363	NA		Others		
HC00822	Chitobiose	C01674	2	Chitobiose		439544	4818	HMDB03556	Organic Compounds	Carbohydrates and Carbohydrate Conjugates	Disaccharides	Dihexoses
C05463	taurodeoxycholate	C05463	5	Taurodeoxycholate		440687	7823	HMDB00896	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Bile Acids, Alcohols and Derivatives
10fthf	10_formyltetrahydrofolate	C00234	3	10-Formyltetrahydrofolate		122347	3533	HMDB00972	Organic Compounds	Aromatic Cyclic Compounds	Pteridines and Derivatives	Pterins and Derivatives
fprica	5_formamido_1_(5_phospho_d_ribosyl)imidazole_4_carboxamide	C04734	1	1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide		166760	7305	HMDB01439	Organic Compounds	Nucleosides, Nucleotides, and Analogues	Imidazole Nucleosides and Nucleotides	1-Phosphoribosyl-imidazoles
prostge2	prostaglandin e2	C00584	5	Prostaglandin E2	Lipids	5280360	3863	HMDB01220	Organic Compounds	Lipids	Eicosanoids	Prostaglandins and related compounds
prostgf2	prostaglandin f2alpha	C00639	2	Prostaglandin F2alpha	Lipids	5280363	3912	HMDB01139	Organic Compounds	Lipids	Eicosanoids	Prostaglandins and related compounds
prostgd2	prostaglandin d2	C00696	1	Prostaglandin D2	Lipids	448457	3964	HMDB01403	Organic Compounds	Lipids	Eicosanoids	Prostaglandins and related compounds
C03681	5alpha-Pregnane-3,20-dione	C03681	3	5alpha-Pregnane-3,20-dione		92810	6456	HMDB03759	Organic Compounds	Lipids	Steroids and Steroid Derivatives	Gluco/mineralocorticoids, Progestogins and Derivatives
